osmid,geometry,amenity,capacity,divvy:id,name,operator,element_type,network,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,brand,brand:wikidata,brand:wikipedia,opening_hours,shop,payment:credit_cards,payment:app,payment:subscription
2480304769,POINT (-87.66850700000001 41.92883),bicycle_rental,15,166,Ashland Ave & Wrightwood Ave,Divvy,node,,,,,,,,,,,,,,
2480304773,POINT (-87.65222869999999 41.9184379),bicycle_rental,15,113,Bissell St & Armitage Ave,Divvy,node,,,,,,,,,,,,,,
2480304777,POINT (-87.590368 41.802562),bicycle_rental,13,121,Blackstone Ave & Hyde Park Blvd,Divvy,node,,,,,,,,,,,,,,
2480304781,POINT (-87.661535 41.857556),bicycle_rental,15,129,Blue Island Ave & 18th St,Divvy,node,,,,,,,,,,,,,,
2480304786,POINT (-87.659637 41.972972),bicycle_rental,15,295,Broadway & Argyle St,Divvy,node,,,,,,,,,,,,,,
2480304790,POINT (-87.644094 41.937739),bicycle_rental,15,300,Broadway & Barry Ave,Divvy,node,,,,,,,,,,,,,,
2480304795,POINT (-87.65975299999999 41.978353),bicycle_rental,15,294,Broadway & Berwyn Ave,Divvy,node,,,,,,,,,,,,,,
2480304800,POINT (-87.64597999999999 41.945512),bicycle_rental,15,303,Broadway & Cornelia Ave,Divvy,node,,,,,,,,,,,,,,
2480304804,POINT (-87.6443337 41.9312508),bicycle_rental,23,220,Clark St & Drummond Pl,Divvy,node,,,,,,,,,,,,,,
2480304809,POINT (-87.64999299999999 41.952833),bicycle_rental,15,256,Broadway & Sheridan Rd,Divvy,node,,,,,,,,,,,,,,
2480304813,POINT (-87.65877399999999 41.965287),bicycle_rental,19,293,Broadway & Wilson Ave,Divvy,node,,,,,,,,,,,,,,
2480304818,POINT (-87.6974565 41.9030185),bicycle_rental,15,216,California Ave & Division St,Divvy,node,,,,,,,,,,,,,,
2480304828,POINT (-87.697153 41.922695),bicycle_rental,14,123,California Ave & Milwaukee Ave,Divvy,node,Bixi,,,,,,,,,,,,,
2480304832,POINT (-87.69715739999999 41.9104159),bicycle_rental,11,276,California Ave & North Ave,Divvy,node,,,,,,,,,,,,,,
2480304836,POINT (-87.61793 41.8349),bicycle_rental,11,149,Calumet Ave & 33rd St,Divvy,node,,,,,,,,,,,,,,
2480304840,POINT (-87.689556 41.910535),bicycle_rental,15,160,Campbell Ave & North Ave,Divvy,node,,,,,,,,,,,,,,
2480304842,POINT (-87.639566 41.874337),bicycle_rental,15,169,Canal St & Harrison St,Divvy,node,,,,,,,,,,,,,,
2480304844,POINT (-87.639833 41.882091),bicycle_rental,23,174,Canal St & Madison St,Divvy,node,,,,,,,,,,,,,,
2480304851,POINT (-87.621994 41.889875),bicycle_rental,19,196,Cityfront Plaza Dr & Pioneer Ct,Divvy,node,,,,,,,,,,,,,,
2480304855,POINT (-87.68585400000001 41.907781),bicycle_rental,11,159,Claremont Ave & Hirsch St,Divvy,node,,,,,,,,,,,,,,
2480304859,POINT (-87.649733 41.957913),bicycle_rental,15,312,Clarendon Ave & Gordon Ter,Divvy,node,,,,,,,,,,,,,,
2480304863,POINT (-87.649603 41.961004),bicycle_rental,15,245,Clarendon Ave & Junior Ter,Divvy,node,,,,,,,,,,,,,,
2480304868,POINT (-87.650001 41.967968),bicycle_rental,15,251,Clarendon Ave & Leland Ave,Divvy,node,,,,,,,,,,,,,,
2480304872,POINT (-87.630931 41.896544),bicycle_rental,19,337,Clark St & Chicago Ave,Divvy,node,,,,,,,,,,,,,,
2480304876,POINT (-87.6313227 41.9029296),bicycle_rental,19,176,Clark St & Elm St,Divvy,node,,,,,,,,,,,,,,
2480304880,POINT (-87.667429 41.967096),bicycle_rental,11,326,Clark St & Leland Ave,Divvy,node,,,,,,,,,,,,,,
2480304884,POINT (-87.63460000000001 41.915689),bicycle_rental,19,141,Clark St & Lincoln Ave,Divvy,node,,,,,,,,,,,,,,
2480304893,POINT (-87.66620690000001 41.9615526),bicycle_rental,19,234,Clark St & Montrose Ave,Divvy,node,,,,,,,,,,,,,,
2480304897,POINT (-87.63184099999999 41.911791),bicycle_rental,15,126,Clark St & North Ave,Divvy,node,,,,,,,,,,,,,,
2480304901,POINT (-87.631501 41.907993),bicycle_rental,19,301,Clark St & Schiller St,Divvy,node,,,,,,,,,,,,,,
2480304910,POINT (-87.6475387 41.9364968),bicycle_rental,15,156,Clark St & Wellington Ave,Divvy,node,,,,,,,,,,,,,,
2480304914,POINT (-87.66836499999999 41.973385),bicycle_rental,15,325,Clark St & Winnemac Ave,Divvy,node,,,,,,,,,,,,,,
2480304917,POINT (-87.656936 41.918216),bicycle_rental,15,223,Clifton Ave & Armitage Ave,Divvy,node,,,,,,,,,,,,,,
2480304919,POINT (-87.640826 41.85795),bicycle_rental,15,170,Clinton St & 18th St,Divvy,node,,,,,,,,,,,,,,
2480304921,POINT (-87.6404612 41.9045257),bicycle_rental,15,138,Clybourn Ave & Division St,Divvy,node,,,,,,,,,,,,,,
2480304930,POINT (-87.67328000000001 41.87501),bicycle_rental,15,122,Ogden Ave & Congress Pkwy,Divvy,node,,,,,,,,,,,,,,
2480304934,POINT (-87.606582 41.816499),bicycle_rental,11,271,Cottage Grove Ave & 43rd St,Divvy,node,,,,,,,,,,,,,,
2480304938,POINT (-87.6071 41.822985),bicycle_rental,15,265,Cottage Grove Ave & Oakwood Blvd,Divvy,node,,,,,,,,,,,,,,
2480304947,POINT (-87.67785499999999 41.920082),bicycle_rental,11,310,Damen Ave & Charleston St,Divvy,node,,,,,,,,,,,,,,
2480304951,POINT (-87.67722000000001 41.895769),bicycle_rental,15,128,Damen Ave & Chicago Ave,Divvy,node,,,,,,,,,,,,,,
2480304956,POINT (-87.67741100000001 41.916027),bicycle_rental,11,219,Damen Ave & Cortland Ave,Divvy,node,,,,,,,,,,,,,,
2480304960,POINT (-87.67564 41.8492),bicycle_rental,11,167,Damen Ave & Coulter St,Divvy,node,,,,,,,,,,,,,,
2480304965,POINT (-87.675726 41.855048),bicycle_rental,15,124,Damen Ave & Cullerton St,Divvy,node,,,,,,,,,,,,,,
2480304969,POINT (-87.67823970000001 41.9032712),bicycle_rental,15,130,Damen Ave & Division St,Divvy,node,,,,,,,,,,,,,,
2480304973,POINT (-87.67686 41.89122),bicycle_rental,15,214,Damen Ave & Grand Ave,Divvy,node,,,,,,,,,,,,,,
2480304978,POINT (-87.679028 41.967094),bicycle_rental,15,242,Damen Ave & Leland Ave,Divvy,node,,,,,,,,,,,,,,
